"","sample","bp","bpoftarget","paralogs_all","paralogs_each","nloci","allele_divergence","locus_heterozygosity","loci with >0.5% SNPs","loci with >1% SNPs","loci with >2% SNPs","pert","perc","gali","lap2","eute"
"44","Perityle_gracilis_11",214008,193.5,4,5,155,2.741,98.75,95,83.12,62.5,0.164353261765275,0.0874145294137929,0.106965501627225,0.725362047780008,0.14191209710038
"45","Perityle_harkerae_31",225382,203.8,4,6,154,1.524,90,76.88,59.38,33.13,0.206191094291105,0.111066199151074,0.280811474922046,0.214682639587228,0.152053458232357
"46","Perityle_hofmeisteria_4_nombre_de_dios",317036,286.6,4,7,150,0.819,77.07,43.31,32.48,17.2,0.171782022133755,0.130876552926796,0.377177820532129,0.212863639159523,0.128359918561848
"47","Perityle_huecosensis_48",266161,240.6,4,8,151,1.14,77.36,52.83,43.4,23.27,0.186542550305616,0.0855149923270702,0.116771241947404,0.705043349893217,0.127739955338176
"48","Perityle_incana_3_ucla",141664,128.1,4,0,151,6.427,98.68,97.35,96.69,93.38,0.384409942275348,0.111053063895406,0.19722189807376,0.276108816027945,0.160563167250715
"49","Perityle_intricata_59_Clark_mtns",278276,251.6,4,5,154,2.098,99.37,83.65,66.67,47.8,0.153170709985577,0.106201975154365,0.0995828957329096,0.747585036884243,0.104746933323363
"50","Perityle_inyoensis_9_pleasant",274175,247.9,4,3,156,1.411,84.28,65.41,47.8,35.22,0.149212440844772,0.0952358278427716,0.103683623122058,0.705195693190612,0.117038451995337
"51","Perityle_jaliscana_203",236734,214,4,9,151,1.671,98.12,86.25,66.88,35,0.238859418617864,0.112507942724912,0.300117591088211,0.214609328845524,0.159668911087621
"52","Perityle_lemmonii_12",230326,208.2,4,6,153,2.132,94.97,74.21,65.41,44.65,0.189286237087705,0.0780234186682134,0.09494507927674,0.742033089250285,0.133493479169712
"53","Perityle_lemmonii_85_hachita",260007,235.1,4,2,157,1.641,84.91,61.64,53.46,37.74,0.129497358424124,0.0791699175180576,0.0932573462846436,0.622220628855966,0.111894694623926
"54","Perityle_lemmonii_colossal_cave_206",246054,222.5,4,3,156,2.495,96.23,79.87,71.7,56.6,0.155085225498757,0.0779790871803338,0.0998043140669461,0.766104581885595,0.119480746810962
"55","Perityle_leptoglossa_20_rancho_las_laminas",248242,224.4,4,4,154,2.082,93.67,77.85,63.29,44.3,0.188446317302348,0.110894545241776,0.141175797845726,0.486584849494835,0.142433831501881
"56","Perityle_lindheimeri_34",211920,191.6,4,2,158,2.236,95.62,78.12,69.38,51.88,0.20287005862548,0.0858069532371464,0.108208236961502,0.700998563824689,0.141101794290492
"57","Perityle_lineariloba_78",202188,182.8,4,2,156,2.301,92.41,77.85,66.46,51.27,0.23011166173088,0.108672448069841,0.324667930679438,0.2175639305429,0.164928231779233
"58","Perityle_lloydii_79",127937,115.7,4,2,156,1.398,72.15,46.2,36.08,28.48,0.28670720734093,0.0956480957536256,0.150598045600873,0.414363219321422,0.157958743894688
"59","Perityle_lobata_119_mesa_tinajas",131069,118.5,4,2,158,2.486,95.62,83.75,70.62,52.5,0.283747270644573,0.105915537022241,0.115211672270279,0.420453911503564,0.143493275234441
"60","Perityle_megalocephala_19_meg_Echo",253222,228.9,4,3,156,1.721,89.94,75.47,61.01,34.59,0.17419250490593,0.0907667063659867,0.101515817946255,0.665234365500895,0.114302830281669
"61","Perityle_megalocephala_29_tin_mountain",288092,260.5,4,2,158,2.118,98.75,86.88,75,50,0.143498580683995,0.088760893119768,0.100870679391904,0.714882903076762,0.0997296158199388
"62","Perityle_microglossa_73_tecolote",179475,162.3,4,4,155,3.453,96.86,94.34,86.16,70.44,0.232419777679733,0.107791788883006,0.296427784210878,0.205270434385813,0.127336503393823
"63","Perityle_microglossa_83_isla_venados",77564,70.1,4,4,145,3.854,89.93,84.56,81.88,71.81,0.301187506333947,0.08923629981639,0.205324944703597,0.15800753562902,0.108516846752841
"64","Perityle_montana_80",189030,170.9,4,4,154,4.097,100,96.84,93.04,80.38,0.284711566120267,0.108140768743823,0.248431204558957,0.219147263757029,0.151303826165575
"65","Perityle_palmeri_21_rancho_nuevo",93421,84.5,4,4,152,3.136,96.79,88.46,77.56,57.69,0.260912559283187,0.104412893626669,0.0977628436763289,0.318731860061595,0.114409556406796
"66","Perityle_parryi_80_lower_window",312456,282.5,4,2,155,2.26,93.63,85.99,75.16,52.23,0.145056347817898,0.106730221402197,0.126027425952024,0.703223991852137,0.108696309791272
"67","Perityle_pseudociliata_140",249077,225.2,4,13,146,1.036,91.19,61.01,37.74,16.98,0.204603640778438,0.111564294016578,0.30801501123216,0.219131171155191,0.14246306222405
"68","Perityle_reinana_7_mazatan",237307,214.6,4,0,160,1.973,95,80.62,65.62,45,0.214507886851903,0.0922394969077668,0.115880415481862,0.411159897522312,0.135249191906489
"69","Perityle_rosei_74",218770,197.8,4,4,156,1.383,88.75,68.12,50,28.12,0.249479464703408,0.249687776465413,0.112651564340478,0.175805416841301,0.218802322142952
"70","Perityle_rosei_jalisco_223",225684,204.1,4,1,140,5.103,98.58,98.58,95.74,91.49,0.192175540675969,0.279211651807657,0.139089611590352,0.194791647295942,0.196725819224978
"71","Perityle_rupestris_10_rupestris_davis",71834,64.9,4,1,141,1.389,64.79,51.41,42.25,26.76,0.271284621739233,0.0751859049153769,0.0885312617088242,0.381688621743751,0.104572568666705
"72","Perityle_rupestris_30_albiflora_chisos",231188,209,4,3,157,1.597,86.25,61.25,50,38.75,0.155668460474634,0.0793491839050727,0.104171175654888,0.618868182279828,0.125757194666413
"73","Perityle_saxicola_224",309550,279.9,4,5,155,1.694,93.75,69.38,56.25,33.13,0.118613461851468,0.075464581305516,0.0898305152364738,0.840063855444091,0.106204050834265
"74","Perityle_socorrensis_san_benedicto_213",206021,186.3,4,1,159,0.653,42.5,33.75,28.12,15.62,0.353776670396231,0.154631812066732,0.139360067768638,0.199110365209082,0.19325942945709
"75","Perityle_specuicola_41_negro_bill_canyon",273496,247.3,4,7,153,1.77,96.88,79.38,60,37.5,0.142045483626938,0.089080169391063,0.0983471420578141,0.669615844561201,0.104638847629762
