"","GalP","EutP","Peri","PerC","PerS","AmauC","GalL","GalC","LapG","LapL","LapC","LapA","LapV","LapI"
"Perityle_harkerae_31",2.12131,4.38884,3.09066,2.70083,3.33914,2.78155,5.18081,9.87876,3.31333,2.81454,2.25633,2.15078,2.17926,2.07188
"Perityle_hofmeisteria_4_nombre_de_dios",1.65724,4.132,3.80353,2.47582,3.06664,2.17826,7.50055,9.65834,3.49429,2.90056,2.22851,2.6625,2.83624,2.86153
"Perityle_huecosensis_48",1.49377,2.24537,1.36142,1.58588,1.46595,1.64604,1.3961,1.21688,3.40356,3.94122,12.19465,7.06357,8.00114,7.69441
"Perityle_incana_3_ucla",2.78271,3.92623,2.85893,8.12575,3.46018,2.93663,4.31661,5.93901,3.47134,4.93429,3.37166,2.94938,3.01926,2.81181
"Perityle_intricata_59_Clark_mtns",1.38386,1.20736,1.33086,1.57123,0.97699,1.24211,0.88061,0.85311,2.01922,2.16097,2.62059,3.20658,4.49319,41.63293
"Perityle_inyoensis_9_pleasant",1.66881,1.5889,1.36255,1.39926,1.23173,1.21997,1.08854,1.00518,3.10925,2.87661,5.89662,5.59259,7.22855,23.84407
"Perityle_jaliscana_203",2.62742,4.308,2.8475,3.12983,3.60367,3.5378,5.27192,10.41519,2.84639,3.33449,2.60216,2.11794,2.12826,2.24534
"Perityle_lemmonii_12",1.9592,2.43093,1.48001,1.6086,1.82082,1.9405,1.13498,1.78443,3.62745,5.40314,8.94089,6.54602,8.40874,9.79455
"Perityle_lemmonii_85_hachita",1.2826,2.14792,1.4669,1.25739,1.13612,1.41476,1.2679,0.91707,2.81061,2.88452,7.22027,6.5719,7.53233,10.05647
"Perityle_lemmonii_colossal_cave_206",1.60626,2.28056,1.42575,1.45198,1.41857,1.72379,1.41681,1.29148,3.60709,4.03374,9.14843,6.72712,9.05644,11.13283
"Perityle_leptoglossa_20_rancho_las_laminas",1.65759,2.81592,1.95916,1.97266,1.8439,1.97656,1.99769,1.68832,5.84953,11.99609,5.1916,4.51741,4.88352,4.22055
"Perityle_lindheimeri_34",2.03203,2.5031,1.33728,1.73356,1.59129,1.80085,1.44488,1.51306,3.5779,4.55955,10.05367,7.99157,8.24011,8.4233
"Perityle_lineariloba_78",1.89074,2.01461,1.38306,1.90047,1.84824,1.84402,48.73538,3.06765,1.64158,1.34867,1.65633,1.18205,1.27134,0.97385
"Perityle_lloydii_79",3.12504,3.27196,2.12065,3.22563,2.52058,3.08876,2.04627,3.11345,6.14857,7.88606,5.33043,3.75846,3.91819,4.1026
"Perityle_lobata_119_mesa_tinajas",2.70877,1.74592,1.32043,2.36699,1.362,1.88827,1.14705,1.19517,2.76784,38.58214,2.89724,1.96357,2.06962,1.91474
"Perityle_megalocephala_19_meg_Echo",1.71612,1.64842,1.32886,1.73735,1.3121,1.58366,0.93583,1.12729,2.83089,2.90099,4.93591,4.71464,6.56464,19.85576
"Perityle_megalocephala_29_tin_mountain",1.57625,1.26603,1.26959,1.07358,1.11244,1.05145,0.9047,1.05184,2.24516,2.83306,5.6478,5.15962,7.2064,22.6709
"Perityle_microglossa_73_tecolote",1.92218,3.2625,2.52833,2.7055,2.94243,2.34934,13.86515,6.03201,3.82344,2.79651,2.39757,2.15609,2.58051,2.01532
"Perityle_microglossa_83_isla_venados",6.47732,2.95657,2.42814,4.89772,2.62453,3.61043,5.98749,6.84909,2.38444,3.611,2.23914,2.37706,1.88212,1.81174
"Perityle_montana_80",2.62973,4.04843,2.85733,3.7129,3.49863,3.2817,8.53861,6.4928,3.54055,3.90167,2.79142,2.11108,2.29858,1.81523
"Perityle_palmeri_21_rancho_nuevo",4.47577,1.92999,1.40717,2.77807,1.76429,2.67258,1.18652,1.88516,3.36111,10.12201,3.74043,2.66643,2.84664,2.59039
"Perityle_parryi_80_lower_window",1.1698,1.44117,1.44222,1.00365,1.08129,0.99617,0.99044,0.92777,3.20691,2.8427,5.75696,28.15564,6.08539,6.14069
"Perityle_pseudociliata_140",2.27532,3.60517,2.52448,2.55193,3.0899,2.631,14.25155,7.24838,3.64032,2.73487,2.89442,2.0606,2.49199,2.05821
"Perityle_reinana_7_mazatan",2.38951,2.49793,1.45965,2.46878,1.67435,2.03648,1.60462,1.98309,4.43114,10.53468,4.48051,3.46899,3.69331,3.20605
"Perityle_rosei_74",2.22887,8.1474,10.67829,4.21615,3.42681,3.47446,2.37306,3.07335,2.19895,3.0474,2.45498,1.67026,1.91346,1.79182
"Perityle_rosei_jalisco_223",2.3499,7.84172,12.40994,3.16147,3.37068,3.2811,2.83791,2.9372,2.55109,2.93932,2.56143,2.23007,2.33604,2.54687
"Perityle_rupestris_10_rupestris_davis",7.25851,2.35298,1.55915,3.6563,2.36249,3.22503,1.40492,1.99773,2.63441,4.60656,6.71759,5.02102,4.56635,4.71255
"Perityle_rupestris_30_albiflora_chisos",1.4256,2.21493,1.4035,1.59377,1.5949,1.53008,1.00315,1.47256,3.33604,3.46992,9.68365,7.12686,6.90752,6.85325
"Perityle_saxicola_224",1.37047,1.92536,1.42358,1.08692,1.42737,1.31242,1.35279,1.29973,3.70846,3.77234,8.64021,7.36772,8.84574,12.58825
"Perityle_socorrensis_san_benedicto_213",2.17359,1.84287,1.39715,1.70534,59.27907,1.93694,0.87449,1.15094,0.94731,1.26687,1.01986,0.56631,0.75851,0.68445
"Perityle_specuicola_41_negro_bill_canyon",1.62477,1.6189,1.22978,1.04045,1.28329,1.47785,0.94904,1.02496,2.57171,2.43987,5.48218,4.7321,7.3701,18.74337
"Perityle_stansburyi_42_rock_spring",1.98631,1.98955,1.26084,1.75993,1.5805,1.91992,1.0691,1.53127,2.78272,3.07064,6.25625,5.21695,6.61252,20.20028
"Perityle_staurophylla_42",1.67257,2.30939,1.54106,1.23337,1.59868,1.81309,1.15923,1.4235,3.33847,4.54075,8.93673,7.09595,8.50288,10.5567
"Perityle_tenella_86_Beaver_dam",4.27479,1.69402,1.19207,2.50032,1.49702,2.7618,1.0399,1.56187,2.41582,4.40952,5.28693,3.49834,4.73438,11.82783
"Perityle_trichodonta_bolanos_208",2.06743,7.8058,11.19515,3.1205,3.57875,3.31003,2.30553,3.49249,2.48621,3.07282,2.22767,1.96092,2.10627,2.0815
