"","sample","bp","bpoftarget","paralogs_all","paralogs_each","nloci","allele_divergence","locus_heterozygosity","loci with >0.5% SNPs","loci with >1% SNPs","loci with >2% SNPs","GalP","EutP","Peri","PerC","PerS","AmauC","GalL","GalC","LapG","LapL","LapC","LapA","LapV","LapI"
"17","Perityle_bisetosa_9",248997,225.1,4,2,158,3.425,100,98.12,93.12,72.5,0.0347677001137574,0.0446260657211316,0.0186540499248417,0.0468986848189274,0.0274258688606282,0.0405736944551884,0.0263904785394102,0.0286591025325327,0.0743624702135025,0.112372460418214,0.36497126587796,0.188024659001051,0.191470595216511,0.164986706436467
"18","Perityle_californica_76_positas",165865,150,4,3,155,2.506,93.67,86.08,76.58,59.49,0.0469930120438418,0.0283678574374039,0.021699373561051,1,0.038171651478338,0.0372605806753897,0.0180435650650513,0.0190335839978785,0.0173071457391272,0.0357994657631744,0.0280039445658659,0.0159757083750552,0.0172170336593601,0.0167910353655147
"19","Perityle_canescens_77",181709,164.3,4,10,149,1.739,95.6,72.96,52.2,32.7,0.0354435636770734,0.038718682105197,0.018649215087562,0.0572464234326268,0.0289709335858339,0.0359694222490558,0.0450368910635354,1,0.0248291801965967,0.0443251722169895,0.0505173378508299,0.0247248599378597,0.0290424286009364,0.0228919751744593
"20","Perityle_castillonii_96",207481,187.6,4,2,158,1.541,86.25,64.38,55,38.75,0.0274222206171792,0.0463130646226333,0.0186086648394101,0.0543055599816489,0.0270095330442937,0.0325804196317295,0.0217652965874073,0.0276735552061826,0.0680204728202324,0.103607264915839,0.317368146084957,0.183754135781313,0.205273917568935,0.177156399993947
"21","Perityle_cernua_84",203688,184.2,4,5,154,3.09,98.11,89.94,83.02,69.18,0.0304951156533829,0.0335524735522137,0.0191671665264564,0.0457664734351221,0.0287765985532499,0.0409030352390446,0.0255541251550721,0.0232691834144678,0.0495600078372273,0.074502865833777,1,0.088603276367636,0.09971551984922,0.0953925174134994
"22","Perityle_cfvillosa_25_tin",229487,207.5,4,2,158,1.65,91.25,71.25,56.88,39.38,0.0325178310250808,0.0262013595969538,0.0261358826338571,0.0502754767102976,0.0225759277262616,0.0275170409223219,0.0249564074395234,0.0255245960638721,0.0537212115486036,0.0781524819514936,0.183924348420164,0.115341312563143,0.175299214232795,0.484499889870831
"23","Perityle_cinerea_113_Powell1310",68944,62.3,4,6,137,3.411,99.3,97.2,87.41,64.34,0.110173886350915,0.0323482219829239,0.0184929406696842,0.0822801402426889,0.0225101372204389,0.0563984038187599,0.0202842370368303,0.025357149622109,0.0398767340446211,0.0997311191136624,0.153706686286451,0.0746803939884725,0.0890723866384728,0.0818143234213878
"24","Perityle_coahuilensis_24",327709,296.3,4,1,158,1.445,90.57,59.12,47.8,31.45,0.0211516585110417,0.0330451828042332,0.0242209751461291,0.0288464371418247,0.0247502195968999,0.0235421010097198,0.0324839982780477,0.0232392552042884,0.0679215394420855,0.0925969891768575,0.256148545673188,0.181312428736876,0.234389069659508,0.319183396412407
"25","Perityle_cochisensis_44_cave_creek",205805,186.1,4,3,154,1.92,87.9,66.24,57.96,43.31,0.0429208573337426,0.0333613597485455,0.0267503748558517,0.0793618248144899,0.0297980383295487,0.0399338802780215,0.0237562526443828,0.0260400053037334,0.0649275947069287,0.128280079850418,0.210412602826115,0.115223259387692,0.163807387797503,0.184931975722103
"26","Perityle_congesta_202",267164,241.6,4,3,157,1.42,83.75,64.38,53.75,28.75,0.0209515898954515,0.0320206756621895,0.019660163966488,0.0341416148112249,0.0201425224788446,0.0306982926059745,0.0235719922569599,0.0216962476085845,0.0572260861955605,0.0922514925299633,0.226419008108618,0.128446783106971,0.206221848055379,0.55945570009125
"27","Perityle_cordifolia_27",289639,261.9,4,3,155,1.03,61.39,43.67,32.28,21.52,0.0243982593308174,0.0500826445386118,0.0354161188484104,0.0415581104636655,0.0340027264260387,0.039762187024057,0.0418217730117217,0.0332996798818025,0.122501206174062,0.348121695686139,0.174797748258796,0.119158663915826,0.141229016874375,0.124736596727638
"28","Perityle_cordifolia_68_tecolote",297178,268.7,4,3,156,0.933,80.5,55.35,38.99,18.87,0.0304425705566891,0.0570157985606369,0.0482766300497926,0.0445726307890545,0.0318625106635445,0.0436455152736767,0.0437398867106402,0.0508520068948535,0.132577890190533,0.159185052980472,0.151963163442901,0.109864272449704,0.144012962962028,0.112028627338984
"29","Perityle_coronopifolia_28_patagonia",259851,234.9,4,7,150,1.124,78.34,57.32,43.95,21.02,0.0468505444105379,0.0608748897576536,0.0410430896294612,0.0675400467916569,0.0443200272878775,0.0506681676724034,0.24963465966614,0.123117648173053,0.0692159984759226,0.0648522865761204,0.0641291814407558,0.0482841967791868,0.060171364822941,0.0520155559553459
"30","Perityle_crassifolia_70_ventanas",154341,139.5,4,3,156,1.758,86.79,65.41,54.09,37.11,0.0485052635380365,0.0353865524820341,0.0244790930718653,0.104294827122806,0.633915478093702,0.0578964746280766,0.022397486179445,0.0301930180137518,0.0241834995388272,0.0437132310442085,0.0488752113712312,0.018810776664449,0.0289015268397654,0.0229272837631173
"31","Perityle_crassifolia_74_playa_balandra",96953,87.7,4,3,155,1.889,77.22,60.76,48.1,34.81,0.0891278597352883,0.0395311413536524,0.0293699208864659,0.120238083069321,0.50918106508756,0.0739901491257585,0.0204875800701667,0.029768719337791,0.0239792437385433,0.0661834724564267,0.0457656198316449,0.017598435515413,0.0304332653402373,0.0256878389294244
"32","Perityle_cuneata_34_cuneata_San_antonio",228243,206.4,4,1,154,2.858,98.71,91.61,80,65.81,0.0418547877430888,0.0639056406724824,0.0520208216166511,0.609749945433785,0.0787527537122293,0.0607729131355821,0.0323498041874302,0.0405012028109787,0.034428815595153,0.0568283667002401,0.0437747887833364,0.0338861895705508,0.0404726420797302,0.0401321742188215
"33","Perityle_cuneata_4",231811,209.6,4,2,152,3.213,99.35,94.16,81.17,65.58,0.0386666907423123,0.110901589745617,0.0659715106433484,0.277342484022471,0.148016829548777,0.0922038894077421,0.0543403991104614,0.0606294395090258,0.0540216902235236,0.065740262204222,0.0694552727654931,0.048417034602797,0.0589231974296287,0.0465977292494187
"34","Perityle_discoidea_81",181561,164.2,4,1,155,4.76,98.72,96.15,94.23,87.18,0.0380764160993843,0.0837221028437698,0.0513239811984096,0.109184140382186,0.36369582046412,0.168612418726095,0.039177492819385,0.0438851741708181,0.043640848991654,0.0668959782946203,0.0703480553846725,0.0354235689692636,0.0409339817171127,0.0352293244794445
"35","Perityle_dissecta_201",265152,239.7,4,3,155,1.666,84.81,70.25,58.23,41.14,0.0249735468843105,0.0377876565026246,0.0228767344198928,0.0434467328516274,0.026377775494791,0.0350247948957419,0.0239520036573019,0.026401606273559,0.073196760096432,0.090690407530531,0.313831329621649,0.211965932586485,0.210504201044087,0.21501369228637
"36","Perityle_emoryi_47_punta_san_jose",184330,166.7,4,3,144,6.684,98.64,98.64,97.96,95.92,0.0392222964554631,0.0633117261041424,0.0432817752524331,0.0833949144888784,0.245613839758282,0.110835018296128,0.0410166084680165,0.0356092663800125,0.0597882864429133,0.129430353007894,0.0915058905723021,0.0577156822555101,0.075341030239336,0.067524913572021
"37","Perityle_feddemae_99",266348,240.8,4,7,153,1.018,80.62,56.25,40,16.87,0.0450044238998935,0.0850705469806997,0.049272606529401,0.0938508836119167,0.0592576772881221,0.0642547852419271,0.124571307333604,0.220892921410035,0.062068594325135,0.0834134654013489,0.0926246510635798,0.0527702174463328,0.0577558339136903,0.0596751177493393
"38","Perityle_fosteri_93",212709,192.3,4,4,155,2.219,97.48,79.87,72.33,47.8,0.0301226052256189,0.0423363094029616,0.0247170918360185,0.0402154508672571,0.0261228794581292,0.0394691135575828,0.0261376847784915,0.0257378819161631,0.0765024127353395,0.105094740727186,0.376367227953246,0.189446673342159,0.203111656312828,0.186600846973778
"39","Perityle_gamon_221",254081,229.7,4,4,156,1.181,83.12,56.25,44.38,27.5,0.049347971325906,0.0730514919058161,0.0457007535171882,0.0936807212000118,0.0608734246336861,0.0669159258595407,0.143431527567857,0.180119334002614,0.067004421218441,0.0796770215441653,0.078814033504079,0.0479712550598218,0.0552339954032694,0.0638523399626209
"40","Perityle_gentryi_8_san_francisco",225757,204.1,4,7,153,1.474,85.62,68.12,53.12,28.12,0.0216384680666655,0.0271031496601549,0.01832715253974,0.0318194691053005,0.0173698743924289,0.0256185621580941,0.0218092071919825,0.0178186501998371,1,0.0584050029365919,0.0589446740632429,0.0427352495133387,0.0443163815215673,0.0400680422924834
"41","Perityle_gilensis_22_Superstition",269196,243.4,4,2,156,2.484,98.73,89.87,76.58,55.7,0.0479018074790993,0.0352450669087802,0.0235370796147976,0.0554573129851959,0.0227112199972098,0.0395309566710376,0.0225682040439615,0.0319093440418237,0.0712548779382826,0.120578848140616,0.267702475864265,0.137676435734943,0.186804423810277,0.232893529232749
"42","Perityle_gilensis_salensis_225",258564,233.8,4,3,157,1.031,66.25,45.63,35.62,25.62,0.0250163413445044,0.0386455932567687,0.0238003443027993,0.0396030465685818,0.0269526832995187,0.0296362681559327,0.0250040114594367,0.0267872634629591,0.0708457855155339,0.10864249624308,0.284415255206611,0.164489963239988,0.210130230599115,0.266391051506584
"43","Perityle_glaucescens_94",265944,240.5,4,11,148,1.433,96.86,77.99,58.49,25.16,0.034763908199563,0.0880509477999444,0.0531418800155588,0.0916276485659157,0.0592069005131153,0.0630791371732666,0.126006199192455,0.228538632015608,0.0737078836156258,0.0852005617106775,0.0858017268295397,0.0564356901406558,0.0647483994519477,0.0590366808197261
"44","Perityle_gracilis_11",214008,193.5,4,5,155,2.741,98.75,95,83.12,62.5,0.0304497932503927,0.0356374006284919,0.0202832341255916,0.0454508011162173,0.022061412232007,0.0354528750234532,0.0207463243335745,0.0290110431307181,0.0516918188485316,0.0919834928803845,0.18521344243747,0.109724042302015,0.157693564425689,0.618980936484653
"45","Perityle_harkerae_31",225382,203.8,4,6,154,1.524,90,76.88,59.38,33.13,0.0383039309510482,0.0792037682805587,0.0482027038281618,0.081197835149301,0.056329156310988,0.0583117668577514,0.106304906209821,0.187122535184589,0.0641485185549454,0.0729492972655223,0.0697511152054358,0.048179584192971,0.0550289555644328,0.0497654140604565
"46","Perityle_hofmeisteria_4_nombre_de_dios",317036,286.6,4,7,150,0.819,77.07,43.31,32.48,17.2,0.0299243422834546,0.0745686720261546,0.0593208020589544,0.0744331276753229,0.0517322555836318,0.0456645356997234,0.153903591189809,0.182947360445514,0.0676520379501469,0.0751788262652097,0.068891100923387,0.0596426147322299,0.07161849661356,0.0687323712263345
"47","Perityle_huecosensis_48",266161,240.6,4,8,151,1.14,77.36,52.83,43.4,23.27,0.026972607934129,0.0405213599001372,0.0212330457073039,0.0476779444861666,0.0247296389771297,0.0345071994817757,0.0286465397417646,0.023050025571572,0.0658954380677053,0.102151409952895,0.37697962489528,0.158230904842868,0.202038479816454,0.184815481398979
