"","sample","bp","bpoftarget","paralogs_all","paralogs_each","nloci","allele_divergence","locus_heterozygosity","loci with >0.5% SNPs","loci with >1% SNPs","loci with >2% SNPs","GalP","EutP","Peri","PerC","PerS","AmauC","GalL","GalC","LapG","LapL","LapC","LapA","LapV","LapI"
"40","Perityle_gentryi_8_san_francisco",225757,204.1,4,7,153,1.474,85.62,68.12,53.12,28.12,1.19836,1.50184,1.1751,1.05839,1.02967,1.22204,1.06288,0.9407,51.65092,2.25339,1.90676,1.90774,1.75502,1.66815
"41","Perityle_gilensis_22_Superstition",269196,243.4,4,2,156,2.484,98.73,89.87,76.58,55.7,2.65285,1.953,1.50915,1.84464,1.3463,1.88568,1.09987,1.68459,3.68038,4.65219,8.65972,6.146,7.39784,9.69604
"42","Perityle_gilensis_salensis_225",258564,233.8,4,3,157,1.031,66.25,45.63,35.62,25.62,1.38543,2.14143,1.52603,1.31729,1.59773,1.41369,1.21858,1.41418,3.65925,4.19166,9.20035,7.34298,8.32159,11.09064
"43","Perityle_glaucescens_94",265944,240.5,4,11,148,1.433,96.86,77.99,58.49,25.16,1.92526,4.87908,3.40735,3.04775,3.50973,3.00896,6.14096,12.06524,3.80708,3.28722,2.77554,2.51934,2.56417,2.45787
"44","Perityle_gracilis_11",214008,193.5,4,5,155,2.741,98.75,95,83.12,62.5,1.68634,1.97474,1.30052,1.5118,1.30778,1.69115,1.01108,1.53158,2.66993,3.54892,5.99134,4.89818,6.24499,25.76999
"45","Perityle_harkerae_31",225382,203.8,4,6,154,1.524,90,76.88,59.38,33.13,2.12131,4.38884,3.09066,2.70083,3.33914,2.78155,5.18081,9.87876,3.31333,2.81454,2.25633,2.15078,2.17926,2.07188
"46","Perityle_hofmeisteria_4_nombre_de_dios",317036,286.6,4,7,150,0.819,77.07,43.31,32.48,17.2,1.65724,4.132,3.80353,2.47582,3.06664,2.17826,7.50055,9.65834,3.49429,2.90056,2.22851,2.6625,2.83624,2.86153
"47","Perityle_huecosensis_48",266161,240.6,4,8,151,1.14,77.36,52.83,43.4,23.27,1.49377,2.24537,1.36142,1.58588,1.46595,1.64604,1.3961,1.21688,3.40356,3.94122,12.19465,7.06357,8.00114,7.69441
"48","Perityle_incana_3_ucla",141664,128.1,4,0,151,6.427,98.68,97.35,96.69,93.38,2.78271,3.92623,2.85893,8.12575,3.46018,2.93663,4.31661,5.93901,3.47134,4.93429,3.37166,2.94938,3.01926,2.81181
"49","Perityle_intricata_59_Clark_mtns",278276,251.6,4,5,154,2.098,99.37,83.65,66.67,47.8,1.38386,1.20736,1.33086,1.57123,0.97699,1.24211,0.88061,0.85311,2.01922,2.16097,2.62059,3.20658,4.49319,41.63293
"50","Perityle_inyoensis_9_pleasant",274175,247.9,4,3,156,1.411,84.28,65.41,47.8,35.22,1.66881,1.5889,1.36255,1.39926,1.23173,1.21997,1.08854,1.00518,3.10925,2.87661,5.89662,5.59259,7.22855,23.84407
"51","Perityle_jaliscana_203",236734,214,4,9,151,1.671,98.12,86.25,66.88,35,2.62742,4.308,2.8475,3.12983,3.60367,3.5378,5.27192,10.41519,2.84639,3.33449,2.60216,2.11794,2.12826,2.24534
"52","Perityle_lemmonii_12",230326,208.2,4,6,153,2.132,94.97,74.21,65.41,44.65,1.9592,2.43093,1.48001,1.6086,1.82082,1.9405,1.13498,1.78443,3.62745,5.40314,8.94089,6.54602,8.40874,9.79455
"53","Perityle_lemmonii_85_hachita",260007,235.1,4,2,157,1.641,84.91,61.64,53.46,37.74,1.2826,2.14792,1.4669,1.25739,1.13612,1.41476,1.2679,0.91707,2.81061,2.88452,7.22027,6.5719,7.53233,10.05647
"54","Perityle_lemmonii_colossal_cave_206",246054,222.5,4,3,156,2.495,96.23,79.87,71.7,56.6,1.60626,2.28056,1.42575,1.45198,1.41857,1.72379,1.41681,1.29148,3.60709,4.03374,9.14843,6.72712,9.05644,11.13283
"55","Perityle_leptoglossa_20_rancho_las_laminas",248242,224.4,4,4,154,2.082,93.67,77.85,63.29,44.3,1.65759,2.81592,1.95916,1.97266,1.8439,1.97656,1.99769,1.68832,5.84953,11.99609,5.1916,4.51741,4.88352,4.22055
"56","Perityle_lindheimeri_34",211920,191.6,4,2,158,2.236,95.62,78.12,69.38,51.88,2.03203,2.5031,1.33728,1.73356,1.59129,1.80085,1.44488,1.51306,3.5779,4.55955,10.05367,7.99157,8.24011,8.4233
"57","Perityle_lineariloba_78",202188,182.8,4,2,156,2.301,92.41,77.85,66.46,51.27,1.89074,2.01461,1.38306,1.90047,1.84824,1.84402,48.73538,3.06765,1.64158,1.34867,1.65633,1.18205,1.27134,0.97385
"58","Perityle_lloydii_79",127937,115.7,4,2,156,1.398,72.15,46.2,36.08,28.48,3.12504,3.27196,2.12065,3.22563,2.52058,3.08876,2.04627,3.11345,6.14857,7.88606,5.33043,3.75846,3.91819,4.1026
"59","Perityle_lobata_119_mesa_tinajas",131069,118.5,4,2,158,2.486,95.62,83.75,70.62,52.5,2.70877,1.74592,1.32043,2.36699,1.362,1.88827,1.14705,1.19517,2.76784,38.58214,2.89724,1.96357,2.06962,1.91474
"60","Perityle_megalocephala_19_meg_Echo",253222,228.9,4,3,156,1.721,89.94,75.47,61.01,34.59,1.71612,1.64842,1.32886,1.73735,1.3121,1.58366,0.93583,1.12729,2.83089,2.90099,4.93591,4.71464,6.56464,19.85576
"61","Perityle_megalocephala_29_tin_mountain",288092,260.5,4,2,158,2.118,98.75,86.88,75,50,1.57625,1.26603,1.26959,1.07358,1.11244,1.05145,0.9047,1.05184,2.24516,2.83306,5.6478,5.15962,7.2064,22.6709
"62","Perityle_microglossa_73_tecolote",179475,162.3,4,4,155,3.453,96.86,94.34,86.16,70.44,1.92218,3.2625,2.52833,2.7055,2.94243,2.34934,13.86515,6.03201,3.82344,2.79651,2.39757,2.15609,2.58051,2.01532
"63","Perityle_microglossa_83_isla_venados",77564,70.1,4,4,145,3.854,89.93,84.56,81.88,71.81,6.47732,2.95657,2.42814,4.89772,2.62453,3.61043,5.98749,6.84909,2.38444,3.611,2.23914,2.37706,1.88212,1.81174
"64","Perityle_montana_80",189030,170.9,4,4,154,4.097,100,96.84,93.04,80.38,2.62973,4.04843,2.85733,3.7129,3.49863,3.2817,8.53861,6.4928,3.54055,3.90167,2.79142,2.11108,2.29858,1.81523
"65","Perityle_palmeri_21_rancho_nuevo",93421,84.5,4,4,152,3.136,96.79,88.46,77.56,57.69,4.47577,1.92999,1.40717,2.77807,1.76429,2.67258,1.18652,1.88516,3.36111,10.12201,3.74043,2.66643,2.84664,2.59039
"66","Perityle_parryi_80_lower_window",312456,282.5,4,2,155,2.26,93.63,85.99,75.16,52.23,1.1698,1.44117,1.44222,1.00365,1.08129,0.99617,0.99044,0.92777,3.20691,2.8427,5.75696,28.15564,6.08539,6.14069
"67","Perityle_pseudociliata_140",249077,225.2,4,13,146,1.036,91.19,61.01,37.74,16.98,2.27532,3.60517,2.52448,2.55193,3.0899,2.631,14.25155,7.24838,3.64032,2.73487,2.89442,2.0606,2.49199,2.05821
"68","Perityle_reinana_7_mazatan",237307,214.6,4,0,160,1.973,95,80.62,65.62,45,2.38951,2.49793,1.45965,2.46878,1.67435,2.03648,1.60462,1.98309,4.43114,10.53468,4.48051,3.46899,3.69331,3.20605
