"","pert","perc","gali","lap1","lap2","eute"
"Perityle_canescens_77",0.204592222017487,0.0855359371729547,0.301461678113469,0.205243991383984,0.168721466310706,0.12986956036834
"Perityle_carmenensis_122_Spellenberg9960",NA,NA,NA,NA,NA,NA
"Perityle_castillonii_96",0.137909383617306,0.0620365234339387,0.0806356958989937,0.275184869036383,0.571383146281525,0.106474193656429
"Perityle_cernua_84",0.15416197579885,0.0632818288630274,0.0854560197872973,0.26850179698916,0.535289063412256,0.109994064490912
"Perityle_cfvillosa_25_tin",0.130725299585357,0.0734663899388242,0.0867820004857887,0.234925163039639,0.596073262285723,0.082853871495365
"Perityle_cinerea_113_Powell1310",0.163853832381314,0.0467886143761953,0.0607286358266105,0.215031050508885,0.246976279977133,0.0688215200358824
"Perityle_coahuilensis_24",0.0827666125952064,0.0619411364135354,0.0832440306444381,0.19504076948412,0.802345377499545,0.0823989539140004
"Perityle_cochisensis_44_cave_creek",0.189178394279999,0.0697365012673816,0.0677392197533393,0.263591246454319,0.475827545928709,0.0826366850371651
"Perityle_congesta_202",0.0980278650862037,0.0669844425728697,0.0804716327383826,0.262509350896707,0.687418723082816,0.0976026965649665
"Perityle_cordifolia_27",0.0978563843554189,0.0791977484443854,0.0965437585421489,0.507547737444693,0.374616840786435,0.0981482523741173
"Perityle_cordifolia_68_tecolote",0.118053033345014,0.109038063339091,0.132774092439316,0.285312134846952,0.355218591404226,0.100908488537631
"Perityle_coronopifolia_28_patagonia",0.155688793361459,0.093769509697153,0.273245341128411,0.141520874946065,0.172178124390245,0.100837877042079
"Perityle_crassifolia_70_ventanas",0.312174013533131,0.10710967834683,0.0980747339700691,0.170686311138269,0.135984769100337,0.127133494398903
"Perityle_crassifolia_74_playa_balandra",0.318025394059524,0.105267789641633,0.0860479273297895,0.18748835127202,0.115345804637201,0.117599906633993
"Perityle_cuneata_34_cuneata_San_antonio",0.683225296922613,0.0958633527437632,0.0827877194513216,0.120691034458108,0.108351853408486,0.0987970494408226
"Perityle_cuneata_4",0.407879433069793,0.131720283062867,0.135092200464295,0.154841913463674,0.152647511780517,0.164748704218631
"Perityle_discoidea_81",0.28651740742437,0.133287161796127,0.110978790035875,0.172526916540215,0.175080416366028,0.188200870886621
"Perityle_dissecta_201",0.122645468382042,0.0661710158175187,0.0785311731796148,0.251187851110746,0.630634518123683,0.0982772176239387
"Perityle_emoryi_47_punta_san_jose",0.21402872142476,0.112986754464919,0.117893361640686,0.235400899217971,0.214803647900122,0.136859925783693
"Perityle_feddemae_99",0.195492293485543,0.0968434430766277,0.286658094057713,0.188977899118399,0.174338535689957,0.131111908343862
"Perityle_fosteri_93",0.118757062929168,0.0730067842322995,0.0935973593579505,0.27133387403289,0.622195411484184,0.113023107741402
"Perityle_gamon_221",0.20523607358121,0.0976295948703784,0.310072130520161,0.190197451790223,0.158759421846551,0.126947556548759
"Perityle_gentryi_8_san_francisco",0.132591883316416,0.0850526730743237,0.118635183159506,0.324307608119344,0.329338727768778,0.10477071290678
"Perityle_gilensis_22_Superstition",0.139175252241764,0.0585673291468528,0.0600481274396815,0.243255439690014,0.661658861166569,0.0813841510512826
"Perityle_gilensis_salensis_225",0.107701615007653,0.0619122038575837,0.071668313474504,0.216899527753121,0.757761030364048,0.0886348639856857
"Perityle_glaucescens_94",0.193639822299099,0.106158520569917,0.309405434432175,0.188790030135632,0.189364424491913,0.135216179942261
"Perityle_gracilis_11",0.126898936073901,0.0623235886375222,0.0851292410074354,0.266902889395168,0.63346188034136,0.108665567037932
"Perityle_harkerae_31",0.173520659167669,0.0961002380456179,0.254272464104025,0.166028309281281,0.170209982089125,0.126075357831091
"Perityle_hofmeisteria_4_nombre_de_dios",0.150062414725615,0.112781212765345,0.352611653066044,0.147081626626248,0.176645383318962,0.11131082213534
"Perityle_huecosensis_48",0.134816339876939,0.0646577828650855,0.0912214754971501,0.264062727389553,0.606949487834184,0.0973879271261743
