"","sample","bp","bpoftarget","paralogs_all","paralogs_each","nloci","allele_divergence","locus_heterozygosity","loci with >0.5% SNPs","loci with >1% SNPs","loci with >2% SNPs","pert","perc","gali","lap1","lap2","eute"
"76","Perityle_stansburyi_42_rock_spring",227018,205.3,4,5,155,1.504,85,65.62,51.88,30,4.78037,4.34314,5.10845,11.17168,30.33686,5.68656
"77","Perityle_staurophylla_42",237637,214.9,4,3,157,1.816,90,66.88,56.88,44.38,4.20837,4.20973,4.84519,13.03183,33.20649,6.3142
"78","Perityle_tenella_86_Beaver_dam",99933,90.4,4,2,157,2.794,96.86,90.57,74.21,52.83,7.3262,3.80096,3.50374,12.49928,20.73482,4.89183
"79","Perityle_trichodonta_bolanos_208",222776,201.4,4,7,152,0.964,75.47,44.65,35.22,18.24,6.92017,16.12913,6.56581,7.19392,8.04562,10.64166
"80","Perityle_turneri_33_Mexiquilla",292701,264.6,4,6,153,1.088,75.47,50.31,33.96,25.16,2.12528,2.14252,59.36738,2.30061,2.87287,1.83733
"81","Perityle_vandevenderi_117_sierra_cucurpe",237655,214.9,4,2,155,1.317,92.99,61.78,44.59,28.03,4.78467,4.41054,5.22267,10.5177,27.05221,4.74101
"82","Perityle_vaseyi_ernst_209",239386,216.4,4,1,158,2.156,95.6,81.76,71.7,53.46,4.63216,4.65772,4.79738,13.62512,31.1681,6.09251
"83","Perityle_vigilans_109",115033,104,4,7,153,1.455,83.12,56.25,43.12,28.75,7.53039,4.61844,11.07989,9.00685,6.66441,4.84036
"84","Perityle_villosa_45_Hanuapah_cyn",272307,246.2,4,1,159,1.733,89.38,71.25,58.12,38.75,4.1998,4.52833,5.22573,11.12811,33.04474,5.05519
"85","Perityle_yellow_87",230091,208,4,2,142,7.084,97.92,97.92,97.92,97.22,16.48859,7.75971,6.55449,10.71293,11.07661,7.61883
